,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
1697,1698,Yale POP_MASTER,ZRJ-126,Provincial,2,NRZ-ZRJ-126,7300,Balochi,5,488.2408142,30.9594,61.8627,NRZ,ZRJ,Zaranj,3401,Zaranj,????,Nimroz,??????,34
4186,4187,Yale POP_MASTER,FRH-133,Provincial,2,FAR-FRH-133,30200,Pashto,2,663.9468994,32.3842,62.1227,FAR,FRH,Farah,3101,Farah,????,Farah,????,31
5357,5358,Yale POP_MASTER,LKG-090,Provincial,2,HLM-LKG-090,35900,Pashto,2,770.960022,31.5818,64.3547,HLM,LKG,Lashkar Gah,3201,Lashkargah,???????,Hilmand,?????,32
6820,6821,Yale POP_MASTER,QEN-088,Provincial,2,BDG-QEN-088,9000,Dari,1,887.4561767999999,34.9874,63.1275,BDG,QEN,Qala-e-naw,2901,Qala-e-Naw,???? ??,Badghis,??????,29
9180,9181,Yale POP_MASTER,DND-051,Provincial,2,KND-DND-051,324800,Pashto,2,1015.8599849999999,31.6218,65.70100000000001,KND,DND,Kandahar,3301,Kandahar,??????,Kandahar,??????,33
9971,9972,Yale POP_MASTER,QLT-096,Provincial,2,ZBL-QLT-096,9900,Pashto,2,1571.384033,32.1059,66.9039,ZBL,QLT,Qalat,2401,Qalat,????,Zabul,????,24
10205,10206,Yale POP_MASTER,SBG-122,Provincial,2,JWJ-SBG-122,38100,Pashto,2,359.8045959,36.6696,65.7491,JWJ,SBG,Shiberghan,2701,Shiberghan,??????,Jawzjan,??????,27
12744,12745,Yale POP_MASTER,NIL-128,Provincial,2,DYK-NIL-128,2086,Dari,1,2038.2399899999998,33.7228,66.1351,DYK,NIL,Nili,2201,Nili,????,Daykundi,???????,22
14402,14403,Yale POP_MASTER,TRK-176,Provincial,2,URG-TRK-176,2100,Pashto,2,1328.390015,32.6285,65.8785,URG,TRK,Tirin Kot,2301,Tirinkot,????????,Uruzgan,??????,23
17706,17707,Yale POP_MASTER,CHN-248,Provincial,2,GOR-CHN-248,5700,Dari,1,2282.6479489999997,34.5278,65.2546,GOR,CHN,Chaghcharan,2101,Chaghcharan,??????,Ghor,???,21
20418,20419,Yale POP_MASTER,MMN-033,Provincial,2,FYB-MMN-033,67800,Uzbek,3,867.4379882999999,35.9204,64.7838,FYB,MMN,Maymana,2801,Maymana,?????,Faryab,??????,28
20649,20650,Yale POP_MASTER,GAZ-094,Provincial,2,GZN-GAZ-094,48700,Dari,1,2178.704102,33.5579,68.4202,GZN,GAZ,Ghazni,1101,Ghazni,????,Ghazni,????,11
21066,21067,Yale POP_MASTER,SEP-228,Provincial,2,SRP-SEP-228,24900,Pashto,2,594.8397827,36.2551,65.9223,SRP,SEP,Sar-e-pul,2001,Sar-e-Pul,????,Sar-e-Pul,????,20
21872,21873,Yale POP_MASTER,SRA-128,Provincial,2,PKK-SRA-128,500,Pashto,2,2142.5310059999997,33.1764,68.7307,PKK,SRA,Sharan,2501,Sharan,???,Paktika,??????,25
23416,23417,Yale POP_MASTER,KHS-178,Provincial,2,KST-KHS-178,9500,Pashto,2,1178.314941,33.3375,69.9169,KST,KHS,Khost(matun),2601,Khost(Matun),( ????(????,Khost,????,26
24341,24342,Yale POP_MASTER,GDZ-125,Provincial,2,PKY-GDZ-125,20000,Pashto,2,2308.284912,33.5975,69.2293,PKY,GDZ,Gardez,1201,Gardez,?????,Paktya,?????,12
26607,26608,Yale POP_MASTER,PLM-208,Provincial,2,LGR-PLM-208,27933,Pashto,2,1903.084961,33.9934,69.0331,LGR,PLM,Pul-e- Alam,501,Pul-e- Alam,?? ???,Logar,????,5
27884,27885,Yale POP_MASTER,JAD-010,Provincial,2,NGR-JAD-010,168600,Pashto,2,572.1810303,34.4279,70.4503,NGR,JAD,Jalalabad,601,Jalalabad,???? ????,Nangarhar,???????,6
28725,28726,Yale POP_MASTER,MTM-210,Provincial,2,LGM-MTM-210,4200,Pashto,2,760.0709228999999,34.6495,70.1922,LGM,MTM,Mehtarlam,701,Mehtarlam,???? ???,Laghman,?????,7
29396,29397,Yale POP_MASTER,ASD-014,Provincial,2,KUN-ASD-014,11200,Pashto,2,842.7277832000001,34.8768,71.1475,KUN,ASD,Asad Abad,1301,Asadabad,??? ????,Kunar,??? ??,13
