,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
78,79,Yale POP_MASTER,KRD-081,District,1,NRZ-KRD-081,500,Pashto,2,602.944397,31.6265,62.8801,NRZ,KRD,Khash Rod,3405,Khashrod,??? ???,Nimroz,??????,34
219,220,Yale POP_MASTER,LJN-059,District,1,FAR-LJN-059,596,Dari,1,515.7188110000001,31.7195,61.6262,FAR,LJN,Lash-e-juwayn,3108,Lash-e-Juwayn,??? ????,Farah,????,31
294,295,Yale POP_MASTER,CKS-121,District,1,NRZ-CKS-121,3200,Balochi,5,483.47378539999994,31.1786,62.0645,NRZ,CKS,Chakhansur,3404,Chakhansur,???????,Nimroz,??????,34
366,367,Yale POP_MASTER,CBR-109,District,1,NRZ-CBR-109,149,Balochi,5,529.3903197999999,30.2816,62.0539,NRZ,CBR,Chahar Burjak,3403,Charburjak,???????,Nimroz,??????,34
1040,1041,Yale POP_MASTER,DES-061,District,1,HLM-DES-061,2800,Hazaragi,8,599.6588135,30.4287,63.3126,HLM,DES,Dishu,3213,Deh-e-shu,????,Hilmand,?????,32
1180,1181,Yale POP_MASTER,ZDJ-083,District,1,HRT-ZDJ-083,7500,Dari,1,830.598999,34.3441,61.7295,HRT,ZDJ,Zindajan,3004,Zindajan,???? ???,Hirat,????,30
1222,1223,Yale POP_MASTER,OBE-032,District,1,HRT-OBE-032,3910,Pashto,2,1300.725952,34.3732,63.2031,HRT,OBE,Band Banafsh,3012,Obe,????,Hirat,????,30
1425,1426,Yale POP_MASTER,KRB-173,District,1,HRT-KRB-173,14000,Dari,1,1238.5119630000002,34.7815,62.1237,HRT,KRB,Kushk,3003,Kushk,????,Hirat,????,30
1497,1498,Yale POP_MASTER,BLB-142,District,1,FAR-BLB-142,1043,Pashto,2,788.6077881,32.7453,62.5589,FAR,BLB,Bala Buluk,3103,Balabuluk,???? ????,Farah,????,31
1546,1547,Yale POP_MASTER,KNG-153,District,1,NRZ-KNG-153,2762,Balochi,5,482.4148865,31.1148,61.8808,NRZ,KNG,Kang,3402,Kang,???,Nimroz,??????,34
1603,1604,Yale POP_MASTER,KSD-073,District,1,FAR-KSD-073,1584,Pashto,2,687.4843139999999,32.6604,62.1207,FAR,KSD,Khak-e-safed,3104,Khak-e-Safed,??? ????,Farah,????,31
1737,1738,Yale POP_MASTER,KKA-114,District,1,HRT-KKA-114,1937,Dari,1,1092.418945,34.8519,62.5602,HRT,KKA,Kushk-e-kohna,3013,Kushk-e-Kohna,???? ????,Hirat,????,30
1930,1931,Yale POP_MASTER,MAR-167,District,1,HLM-MAR-167,67414,Pashto,2,772.324585,31.5136,64.1159,HLM,MAR,Marjeh,3203,Nad-e-Ali,??????,Hilmand,?????,32
2145,2146,Yale POP_MASTER,BKA-076,District,1,FAR-BKA-076,250,Pashto,2,721.0524292,32.2393,62.9457,FAR,BKA,Bakwa,3102,Bakwa,?????,Farah,????,31
2194,2195,Yale POP_MASTER,NES-065,District,1,KND-NES-065,746,Pashto,2,1483.550049,32.4279,65.6348,KND,NES,Nesh (nes),3314,Nesh,???,Kandahar,??????,33
2273,2274,Yale POP_MASTER,RKN-056,District,1,HLM-RKN-056,800,Pashto,2,635.5689697,30.5517,63.7879,HLM,RKN,Reg (khan Neshin),3212,Reg,???,Hilmand,?????,32
2366,2367,Yale POP_MASTER,GRM-235,District,1,HLM-GRM-235,596,Pashto,2,713.7427978999999,31.1319,64.1948,HLM,GRM,Garm Ser,3209,Garmser,??? ???,Hilmand,?????,32
2501,2502,Yale POP_MASTER,NDA-166,District,1,HLM-NDA-166,5000,Pashto,2,795.9937744,31.6396,64.2535,HLM,NDA,Nad-e-ali,3203,Nad-e-Ali,??????,Hilmand,?????,32
2584,2585,Yale POP_MASTER,NIS-261,District,1,HLM-NIS-261,500,Pashto,2,826.067688,31.8273,64.58800000000001,HLM,NIS,Nahr-e-saraj,3202,Nahr-e-Saraj,??? ????,Hilmand,?????,32
2742,2743,Yale POP_MASTER,NWZ-165,District,1,HLM-NWZ-165,1350,Pashto,2,1225.470947,32.4037,64.4661,HLM,NWZ,Naw Zad,3207,Nawzad,?????,Hilmand,?????,32
2837,2838,Yale POP_MASTER,SAN-069,District,1,HLM-SAN-069,9000,Pashto,2,889.8148193,32.0707,64.8403,HLM,SAN,Sangin,3205,Sangin,?????,Hilmand,?????,32
3025,3026,Yale POP_MASTER,GHK-052,District,1,KND-GHK-052,1419,Pashto,2,1160.791992,32.0328,65.1379,KND,GHK,Ghorak,3315,Ghorak,????,Kandahar,??????,33
3407,3408,Yale POP_MASTER,CSF-105,District,1,HRT-CSF-105,2000,Dari,1,1580.494995,34.3443,63.753,HRT,CSF,Chisht-e-sharif,3016,Chisht-e-Sharif,??? ????,Hirat,????,30
3529,3530,Yale POP_MASTER,FAI-110,District,1,HRT-FAI-110,1192,Dari,1,2278.156982,33.7844,63.243,HRT,FAI,Farsi,3011,Farsi,????,Hirat,????,30
3591,3592,Yale POP_MASTER,SHD-331,District,1,HRT-SHD-331,8800,Pashto,2,1073.321045,33.3132,62.1459,HRT,SHD,Shindand,3015,Shindand,??????,Hirat,????,30
3804,3805,Yale POP_MASTER,JAG-578,District,1,GZN-JAG-578,8791,Dari,1,2489.106934,33.1392,67.438,GZN,JAG,Jaghuri,1113,Jaghuri,??????,Ghazni,????,11
3956,3957,Yale POP_MASTER,ANA-049,District,1,FAR-ANA-049,3400,Dari,1,771.2382202,32.7491,61.6723,FAR,ANA,Anar Dara,3111,Anardara,???? ???,Farah,????,31
4056,4057,Yale POP_MASTER,SBK-053,District,1,FAR-SBK-053,1000,Dari,1,576.9144897000001,32.1363,61.6206,FAR,SBK,Shib Koh,3107,Shibkoh,???? ???,Farah,????,31
4254,4255,Yale POP_MASTER,PTR-083,District,1,FAR-PTR-083,2500,Pashto,2,676.9586182,32.4957,62.14,FAR,PTR,Pusht Rod,3105,Pushtrod,??????,Farah,????,31
4409,4410,Yale POP_MASTER,GUN-225,District,1,FAR-GUN-225,298,Pashto,2,1431.25,32.6178,63.6676,FAR,GUN,Gulestan,3109,Gulestan,??????,Farah,????,31
4649,4650,Yale POP_MASTER,MSQ-156,District,1,HLM-MSQ-156,2682,Pashto,2,1045.9570310000001,32.4433,64.7444,HLM,MSQ,Musa Qaleh (1),3206,Musaqalah,???? ????,Hilmand,?????,32
4741,4742,Yale POP_MASTER,KJK-196,District,1,HLM-KJK-196,3725,Pashto,2,993.425415,32.3582,65.1156,HLM,KJK,Kajaki,3210,Kajaki,????,Hilmand,?????,32
5033,5034,Yale POP_MASTER,QEK-106,District,1,FAR-QEK-106,1341,Dari,1,613.5687866000001,32.2951,61.5121,FAR,QEK,Qala-e-kah,3106,Qala-e-Kah,???? ???,Farah,????,31
5174,5175,Yale POP_MASTER,NYB-165,District,1,HLM-NYB-165,5000,Pashto,2,744.7609863,31.3934,64.3303,HLM,NYB,Nawa-e-barak Zaiy,3204,Nawa-e-Barakzaiy,???? ????????,Hilmand,?????,32
5272,5273,Yale POP_MASTER,WSR-074,District,1,HLM-WSR-074,298,Pashto,2,1451.776001,32.336999999999996,64.0142,HLM,WSR,Wa Sher,3208,Washer,?????,Hilmand,?????,32
5508,5509,Yale POP_MASTER,BGN-244,District,1,HLM-BGN-244,7800,Pashto,2,1555.45105,33.0778,65.0918,HLM,BGN,Baghran,3211,Baghran,??????,Hilmand,?????,32
6124,6125,Yale POP_MASTER,MRF-327,District,1,KND-MRF-327,35451,Other,9,1738.4010010000002,31.6445,67.1732,KND,MRF,Maruf,3316,Maruf,?????,Kandahar,??????,33
6310,6311,Yale POP_MASTER,ADN-209,District,1,HRT-ADN-209,298,Dari,1,1350.29895,33.6437,62.2683,HRT,ADN,Adraskan,3010,Adraskan,??????,Hirat,????,30
6557,6558,Yale POP_MASTER,MOQ-086,District,1,BDG-MOQ-086,2086,Pashto,2,933.3325195,35.0437,63.2889,BDG,MOQ,Muqur,2902,Muqur,???,Badghis,??????,29
6581,6582,Yale POP_MASTER,PNZ-186,District,1,HRT-PNZ-186,4768,Dari,1,1088.360962,34.2384,62.6851,HRT,PNZ,Pashtun Zarghun,3006,Pashtunzarghun,????? ?????,Hirat,????,30
6594,6595,Yale POP_MASTER,ABK-107,District,1,BDG-ABK-107,2990,Dari,1,757.4371947999999,35.0867,63.0661,BDG,ABK,Ab-e-kamari,2903,Abkamari,?? ????,Badghis,??????,29
6615,6616,Yale POP_MASTER,QDS-177,District,1,BDG-QDS-177,2086,Dari,1,1298.1519779999999,34.8085,63.425,BDG,QDS,Qadis,2904,Qadis,?????,Badghis,??????,29
6944,6945,Yale POP_MASTER,KOS-045,District,1,HRT-KOS-045,1192,Dari,1,743.3012695,34.6581,61.2076,HRT,KOS,Kohsan,3014,Kohsan,??????,Hirat,????,30
6992,6993,Yale POP_MASTER,GHN-079,District,1,HRT-GHN-079,28300,Pashto,2,795.7443847999999,34.3449,61.4941,HRT,GHN,Ghoryan,3009,Ghoryan,??????,Hirat,????,30
7087,7088,Yale POP_MASTER,BMG-153,District,1,BDG-BMG-153,1043,Pashto,2,469.211792,35.582,63.3248,BDG,BMG,Bala Murghab,2906,Balamurghab,???? ?????,Badghis,??????,29
7312,7313,Yale POP_MASTER,SWK-051,District,1,KND-SWK-051,6705,Pashto,2,1055.631958,31.7823,65.7798,KND,SWK,Shah Wali Kot,3306,Shahwalikot,??? ??? ???,Kandahar,??????,33
7385,7386,Yale POP_MASTER,AG1-066,District,1,KND-AG1-066,42146,Pashto,2,998.4290771,31.6552,65.6495,KND,AG1,Arghandab (1),3302,Arghandab,???????,Kandahar,??????,33
